Gene	Score	p-value	q-value	is_cancer_related(<=threshold)
EYA4	0.86078984	0.0	0.0	1
DNAJC1	0.85657537	0.0	0.0	1
SP1	0.8549984	0.0	0.0	1
JDP2	0.85345715	0.0	0.0	1
HDAC5	0.8520523	0.0	0.0	1
RAD54B	0.85189784	0.0	0.0	1
TET1	0.8513052	0.0	0.0	1
RAD54L2	0.84994787	0.0	0.0	1
DEPDC1B	0.84978944	0.0	0.0	1
HDGFL3	0.8496969	0.0	0.0	1
PAK1	0.8486946	0.0	0.0	1
CUL2	0.8471662	0.0	0.0	1
SATB2	0.84704536	0.0	0.0	1
CLOCK	0.84703887	0.0	0.0	1
UBE2V1	0.8467992	0.0	0.0	1
INO80D	0.8466175	0.0	0.0	1
SKP1	0.84578687	0.0	0.0	1
ZNF217	0.8448782	0.0	0.0	1
PPP4R3B	0.8448171	0.0	0.0	1
ELP2	0.8446558	0.0	0.0	1
CDC73	0.84439427	0.0	0.0	1
HAT1	0.8443563	0.0	0.0	1
SCMH1	0.8443076	0.0	0.0	1
USP25	0.84428424	0.0	0.0	1
TOP2B	0.84424967	0.0	0.0	1
CIT	0.8438541	0.0	0.0	1
TLE4	0.8437103	0.0	0.0	1
MAX	0.84343237	0.0	0.0	1
SUV39H2	0.8430892	0.0	0.0	1
KAT7	0.8429738	0.0	0.0	1
SUPT6H	0.841185	0.0	0.0	1
SF3B1	0.8411069	0.0	0.0	1
NCOA6	0.8408033	0.0	0.0	1
OGA	0.84073454	0.0	0.0	1
CBX5	0.8404804	0.0	0.0	1
PHF21A	0.8404041	0.0	0.0	1
PCGF5	0.84038347	0.0	0.0	1
CUL4A	0.8401627	0.0	0.0	1
USP36	0.8401146	0.0	0.0	1
BANP	0.8398447	0.0	0.0	1
BAZ2A	0.83967495	0.0	0.0	1
ELP1	0.839132	0.0	0.0	1
BAHCC1	0.83873314	0.0	0.0	1
SETD3	0.8385985	0.0	0.0	1
ZMYND11	0.8385752	0.0	0.0	1
TRAC	0.8383241	0.0	0.0	1
CHD4	0.8382359	0.0	0.0	1
INO80	0.8379087	0.0	0.0	1
SMYD4	0.83770484	0.0	0.0	1
PHRF1	0.8373916	0.0	0.0	1
KMT5A	0.83736426	0.0	0.0	1
NAT10	0.8372148	0.0	0.0	1
PRKCB	0.83715945	0.0	0.0	1
KMT5B	0.83686143	0.0	0.0	1
PHC3	0.8365423	0.0	0.0	1
KANSL2	0.83634317	0.0	0.0	1
TAF15	0.83620024	0.0	0.0	1
TLK2	0.8359642	0.0	0.0	1
MORC3	0.8353558	0.0	0.0	1
CUL5	0.835129	0.0	0.0	1
USP46	0.83503747	0.0	0.0	1
ANP32B	0.8342543	0.0	0.0	1
